data_type,collector,purpose,text
UNSPECIFIED_DATA,we,services,"We use personal information in the file we maintain about you, and other information we obtain from your current and past activities on the Site, to provide to you the services offered by the Site; troubleshoot problems; deliver information to you that, in some cases, is relevant to your interests, such as new courses; customize your experience; enforce our Terms of Use ; provide you with system or administrative messages."
contact information,we,services,"On occasion we use email addresses or other contact information to contact our Users to ask them for their input on our services.
Once you become a User, we require you to provide various contact and identity information, and other personal information as indicated on the relevant forms on the Site (which vary, depending on what kind of User you are), and you are no longer anonymous to us."
cookie / pixel tag,we,services,"We use cookies to allow you to enter your password less frequently during a session, to offer certain features that are only available through the use of a cookie and to allow us to provide information that is targeted to your interests."
email address,we,services,On occasion we use email addresses or other contact information to contact our Users to ask them for their input on our services.
information target to interest,we,services,"We use cookies to allow you to enter your password less frequently during a session, to offer certain features that are only available through the use of a cookie and to allow us to provide information that is targeted to your interests."
personal information,law enforcement agency,,"Therefore, we may provide personal information to law enforcement agencies in what we believe to be emergency situations, we may provide personal information where required by court order, legal process or lawful authority, and we may provide it to our legal counsel in connection with the foregoing."
personal information,legal counsel,,"Therefore, we may provide personal information to law enforcement agencies in what we believe to be emergency situations, we may provide personal information where required by court order, legal process or lawful authority, and we may provide it to our legal counsel in connection with the foregoing."
personal information,we,"services, advertising, analytics","Once you become a User, we require you to provide various contact and identity information, and other personal information as indicated on the relevant forms on the Site (which vary, depending on what kind of User you are), and you are no longer anonymous to us.
Therefore, we may provide personal information to law enforcement agencies in what we believe to be emergency situations, we may provide personal information where required by court order, legal process or lawful authority, and we may provide it to our legal counsel in connection with the foregoing.
We may also use personal information about you to improve our marketing and promotional efforts, to analyze Site usage, to improve our content and product offerings, and to customize the Site's content, layout, and services.
We only collect personal information about you that we consider necessary for achieving this purpose."
personal information in file we maintain about you,we,"services, advertising, analytics","We use personal information in the file we maintain about you, and other information we obtain from your current and past activities on the Site, to provide to you the services offered by the Site; troubleshoot problems; deliver information to you that, in some cases, is relevant to your interests, such as new courses; customize your experience; enforce our Terms of Use ; provide you with system or administrative messages."
