data_type,collector,purpose,text
information about you,government official,,"We can disclose any information about you to government or law enforcement officials or private parties as we, in our sole discretion, believe necessary or appropriate to respond to claims and legal process including, but not limited to, subpoenas, to protect the property and rights of OneStream or a third party, to protect the safety of the public or any person, or to prevent or stop activity we may consider to be, or to pose a risk of being, illegal, unethical or legally actionable activity."
information about you,private party,,"We can disclose any information about you to government or law enforcement officials or private parties as we, in our sole discretion, believe necessary or appropriate to respond to claims and legal process including, but not limited to, subpoenas, to protect the property and rights of OneStream or a third party, to protect the safety of the public or any person, or to prevent or stop activity we may consider to be, or to pose a risk of being, illegal, unethical or legally actionable activity."
information about you,we,"legal, security, services, analytics, advertising","We can disclose any information about you to government or law enforcement officials or private parties as we, in our sole discretion, believe necessary or appropriate to respond to claims and legal process including, but not limited to, subpoenas, to protect the property and rights of OneStream or a third party, to protect the safety of the public or any person, or to prevent or stop activity we may consider to be, or to pose a risk of being, illegal, unethical or legally actionable activity.
We'll retain information about you on our servers for as long as you have an account, except uploaded videos that are automatically deleted if they are not used for 60 days."
information browser send,we,"legal, security, services, analytics, advertising","When you visit the Service, whether as a registered User or a non-registered user just browsing, our servers automatically record information that your browser sends whenever you visit a website (""Log Data"")."
information we use,we,"legal, security, services, analytics, advertising","When you stream videos using our website we automatically record information that we can use to provide you different statistics, to make sure you comply with the video size/format requirements and keep track of your streaming history so that your streaming history is visible in OneStream dashboard."
information you search for on service,we,"legal, security, services, analytics, advertising","This Log Data may include information such as your IP address, the operating system type, browser type, browser language, the webpage you were visiting before you came to our Service, Country and state where you are accessing our webpage from, last time you visited our website, pages of our Service that you visit, the time spent on those pages, information you search for on our Service, access times and dates, your subscription plan if you are a paid user and other statistics.
We use this information to monitor and analyze use of the Service and the Service's technical administration, to increase our Service's functionality and user-friendliness, and to better tailor our Service to our visitors' needs."
internet activity,we,"legal, security, services, analytics, advertising","Additionally, we use this information for site optimization, fraud/security purposes, and advertising.
Website usage data is captured using first and third-party cookies and other tracking technologies to determine the popularity of products/services and online activity."
ip address,advertiser,,"As a result of your visit to our site, ad server companies may collect information such as your domain type, your IP address and click information."
ip address,we,"legal, security, services, analytics, advertising","This Log Data may include information such as your IP address, the operating system type, browser type, browser language, the webpage you were visiting before you came to our Service, Country and state where you are accessing our webpage from, last time you visited our website, pages of our Service that you visit, the time spent on those pages, information you search for on our Service, access times and dates, your subscription plan if you are a paid user and other statistics.
We use this information to monitor and analyze use of the Service and the Service's technical administration, to increase our Service's functionality and user-friendliness, and to better tailor our Service to our visitors' needs."
link of stream,we,"legal, security, services, analytics, advertising",We keep the link of your streams on the platforms where it is streamed (for analytics purpose).
link of video,we,"legal, security, services, analytics, advertising",We only keep the link of your videos on the platforms where it is streamed (for analytics purpose) but not the actual video.
log datum,UNSPECIFIED_ACTOR,"advertising, analytics","We may share aggregated information that does not include Personal Information and we may otherwise disclose Non-Identifying Information and Log Data with third parties for industry analysis, demographic profiling and other purposes."
log datum,we,"legal, security, services, analytics, advertising","We may share aggregated information that does not include Personal Information and we may otherwise disclose Non-Identifying Information and Log Data with third parties for industry analysis, demographic profiling and other purposes."
non - identifying information,UNSPECIFIED_ACTOR,"advertising, analytics","We may share aggregated information that does not include Personal Information and we may otherwise disclose Non-Identifying Information and Log Data with third parties for industry analysis, demographic profiling and other purposes."
non - identifying information,we,"legal, security, services, analytics, advertising","We may share aggregated information that does not include Personal Information and we may otherwise disclose Non-Identifying Information and Log Data with third parties for industry analysis, demographic profiling and other purposes."
operate system type,we,"legal, security, services, analytics, advertising","This Log Data may include information such as your IP address, the operating system type, browser type, browser language, the webpage you were visiting before you came to our Service, Country and state where you are accessing our webpage from, last time you visited our website, pages of our Service that you visit, the time spent on those pages, information you search for on our Service, access times and dates, your subscription plan if you are a paid user and other statistics.
We use this information to monitor and analyze use of the Service and the Service's technical administration, to increase our Service's functionality and user-friendliness, and to better tailor our Service to our visitors' needs."
permission you give we,UNSPECIFIED_ACTOR,"advertising, analytics",This token is provided by the third-party and identifies the permissions you have given us.
ssl encryption,we,"legal, security, services, analytics, advertising",We use SSL encryption to make sure that your account details are transferred securely to the required platform.
statistic,we,"legal, security, services, analytics, advertising","This Log Data may include information such as your IP address, the operating system type, browser type, browser language, the webpage you were visiting before you came to our Service, Country and state where you are accessing our webpage from, last time you visited our website, pages of our Service that you visit, the time spent on those pages, information you search for on our Service, access times and dates, your subscription plan if you are a paid user and other statistics.
We use this information to monitor and analyze use of the Service and the Service's technical administration, to increase our Service's functionality and user-friendliness, and to better tailor our Service to our visitors' needs."
subscription plan,we,"legal, security, services, analytics, advertising","This Log Data may include information such as your IP address, the operating system type, browser type, browser language, the webpage you were visiting before you came to our Service, Country and state where you are accessing our webpage from, last time you visited our website, pages of our Service that you visit, the time spent on those pages, information you search for on our Service, access times and dates, your subscription plan if you are a paid user and other statistics.
We use this information to monitor and analyze use of the Service and the Service's technical administration, to increase our Service's functionality and user-friendliness, and to better tailor our Service to our visitors' needs."
url of video,we,"legal, security, services, analytics, advertising",For example if you stream your video to YouTube and Facebook we store a URL of your video on YouTube and Facebook.
