data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"We want to inform you that whenever you use our Service, in a case of an error in the app we collect data and information (through third party products) on your phone called Log Data."
authentication information use,we,,We store authentication information used to authenticate users to their zoom accounts.
cookie / pixel tag,we,services,We use cookies on our website to give you the most relevant experience by remembering your preferences and repeat visits.
information we request,we,services,The information that we request will be retained by us and used as described in this privacy policy.
personal information,UNSPECIFIED_ACTOR,,We want to inform users of this Service that these third parties have access to your Personal Information.
personal information,we,services,"In the case we discover that a child under 13 has provided us with personal information, we immediately delete this from our servers."
third party code,we,services,"However, the app may use third party code and libraries that use ""cookies"" to collect information and improve their services."
