data_type,collector,purpose,text
email address,we,"legal, services, advertising, security","This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy .
We may use your email address to confirm the opening of an account, to send notices regarding payments, or to send notices and other disclosures as required by law."
gender,Facebook,,"This includes your Facebook user ID, first name, last name, email address (optional), gender, locale, your time zone, birthday and profile picture.
This information is collected by Facebook and is provided to GV under the terms of Facebook's Data Policy ."
gender,Google,,"This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
gender,we,"legal, services","This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
gender,we,"legal, services, advertising, security","This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
gv app,we,"legal, services, advertising, security","As used in this Agreement, and in addition to any other terms defined herein, the following defined terms will have the following meanings: 1.12 ""Sponsor"" means the organization or other entity which has arranged with GV to make the Service, including the GV App, available to You under its auspices, sponsorship and/or branding.
GV grants You a non-exclusive, non-transferable, limited, revocable license, for the duration of Sponsor's Subscription Term (subject to Sponsor's consent, which it may grant or withdraw in its discretion) to use the Service, including the GV App, as made available to You through your account with Sponsor, to create, upload, distribute, or otherwise transmit to, through or from Sponsor's account to use the Service, as permitted by its functionality and as described in the Documentation and permitted by this Agreement and the Sponsor Terms of Service, and to download and use the GV App on any Device that You own or control and with which the Service, including the GV App, is designed to be used, as permitted by the Usage Rules set forth in the App Store and Google Play Terms of Service .
NEITHER APPLE NOR GOOGLE ARE RESPONSIBLE FOR THE SERVICE, INCLUDING THE GV APP.
The Service, including the GV App and all computer software in source code, object code or other form, databases, indexing, search, and retrieval methods and routines, hypertext markup language code, active server pages, intranet pages, and similar materials, and all intellectual property and other rights, title, and interest therein, including copyrights, trade secrets, rights in patents, compilations, inventions, modifications, updates, extensions, enhancements, configurations, derivative works, discoveries, improvements, processes, methods, designs and know-how, whether or not copyrightable or patentable, pertaining to any of the foregoing (all of which shall be deemed part of the Service), whether conceived by GV alone or in conjunction with others, but except for any trademarks, service marks or trade dress of Sponsor (collectively, ""GV IP""), are owned by GV and/or its licensors, protected by applicable intellectual property laws of the United States and other countries, including but not limited to copyright, and the non-public-facing elements thereof constitute trade secrets and confidential information of GV."
indexing,we,"legal, services, advertising, security","The Service, including the GV App and all computer software in source code, object code or other form, databases, indexing, search, and retrieval methods and routines, hypertext markup language code, active server pages, intranet pages, and similar materials, and all intellectual property and other rights, title, and interest therein, including copyrights, trade secrets, rights in patents, compilations, inventions, modifications, updates, extensions, enhancements, configurations, derivative works, discoveries, improvements, processes, methods, designs and know-how, whether or not copyrightable or patentable, pertaining to any of the foregoing (all of which shall be deemed part of the Service), whether conceived by GV alone or in conjunction with others, but except for any trademarks, service marks or trade dress of Sponsor (collectively, ""GV IP""), are owned by GV and/or its licensors, protected by applicable intellectual property laws of the United States and other countries, including but not limited to copyright, and the non-public-facing elements thereof constitute trade secrets and confidential information of GV."
information about youtube account,we,"legal, services","When you use these features, we may collect information about your YouTube account and activity, as permitted by the YouTube API and subject to YouTube's Terms of Service ."
information available,we,"legal, services","In each case, you authorize us to collect your authentication information, such as your username and encrypted access credentials, and other information available from Facebook or Google, as the case may be, as explained below:"
information we store within analytic software,we,"legal, services","We do not link the information that we store within the analytics software to any Personal Data you transmit using the mobile application, but we do share this information with our Customer acting as your Sponsor."
intranet page,we,"legal, services, advertising, security","The Service, including the GV App and all computer software in source code, object code or other form, databases, indexing, search, and retrieval methods and routines, hypertext markup language code, active server pages, intranet pages, and similar materials, and all intellectual property and other rights, title, and interest therein, including copyrights, trade secrets, rights in patents, compilations, inventions, modifications, updates, extensions, enhancements, configurations, derivative works, discoveries, improvements, processes, methods, designs and know-how, whether or not copyrightable or patentable, pertaining to any of the foregoing (all of which shall be deemed part of the Service), whether conceived by GV alone or in conjunction with others, but except for any trademarks, service marks or trade dress of Sponsor (collectively, ""GV IP""), are owned by GV and/or its licensors, protected by applicable intellectual property laws of the United States and other countries, including but not limited to copyright, and the non-public-facing elements thereof constitute trade secrets and confidential information of GV."
locale,Facebook,,"This includes your Facebook user ID, first name, last name, email address (optional), gender, locale, your time zone, birthday and profile picture.
This information is collected by Facebook and is provided to GV under the terms of Facebook's Data Policy ."
minimum amount of personal datum necessary,UNSPECIFIED_ACTOR,,"We only provide third parties with the minimum amount of Personal Data necessary for an authorized purpose and such third parties are not permitted to use your Personal Data for any other purpose not disclosed or authorized under this Privacy Policy or the privacy policy of the recipient, or for which you have not otherwise provided your consent."
minimum amount of personal datum necessary,we,"legal, services","We only provide third parties with the minimum amount of Personal Data necessary for an authorized purpose and such third parties are not permitted to use your Personal Data for any other purpose not disclosed or authorized under this Privacy Policy or the privacy policy of the recipient, or for which you have not otherwise provided your consent."
mobile application,we,"legal, services, advertising, security","Our platform consists of various software components, services and mobile applications (collectively, the ""Service""), which may be accessed directly or through our Customers' websites or through links provided by our Customers."
person name,Facebook,,"This includes your Facebook user ID, first name, last name, email address (optional), gender, locale, your time zone, birthday and profile picture.
This information is collected by Facebook and is provided to GV under the terms of Facebook's Data Policy ."
person name,we,"legal, services","If you are a visitor to our Site (""Visitor""), you may provide basic Personal Data (e.g., name, address, telephone number, email address and/or company name, etc.) (""Basic Personal Data"") directly to us by completing a form to request a demo or learn more about our Service, use interactive features of our Site, subscribe to a blog, participate in surveys or contests, promotions or sweepstakes, or otherwise communicate with us."
person name,we,"legal, services, advertising, security","If you are a visitor to our Site (""Visitor""), you may provide basic Personal Data (e.g., name, address, telephone number, email address and/or company name, etc.) (""Basic Personal Data"") directly to us by completing a form to request a demo or learn more about our Service, use interactive features of our Site, subscribe to a blog, participate in surveys or contests, promotions or sweepstakes, or otherwise communicate with us."
personal identifier,Facebook,,"This includes your Facebook user ID, first name, last name, email address (optional), gender, locale, your time zone, birthday and profile picture.
This information is collected by Facebook and is provided to GV under the terms of Facebook's Data Policy ."
personal identifier,Google,,"This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
personal identifier,we,"legal, services","This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
personal identifier,we,"legal, services, advertising, security","This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
personal information,UNSPECIFIED_ACTOR,services,"We may also share Personal Data with business partners, service vendors, authorized third-party agents or contractors in order to provide the Service or a requested transaction, including processing orders, processing credit card transactions, hosting websites, hosting demos, event and seminar registration and providing customer support, or to provide you with information regarding our Service or the services or products of third parties that may be of interest to you and for other legitimate and lawful business purposes of GV.
We may also transfer Personal Data to our third party sub-processors as described below in this section and in the "" Information Sharing "" section below.
We may share Personal Data with our affiliated companies (those we control, or which are under common control with us by a parent entity) to respond to your inquiries, process orders, assist us in providing Service, or to help improve our Service."
personal information,business partner,services,"We may also share Personal Data with business partners, service vendors, authorized third-party agents or contractors in order to provide the Service or a requested transaction, including processing orders, processing credit card transactions, hosting websites, hosting demos, event and seminar registration and providing customer support, or to provide you with information regarding our Service or the services or products of third parties that may be of interest to you and for other legitimate and lawful business purposes of GV."
personal information,contractor,services,"We may also share Personal Data with business partners, service vendors, authorized third-party agents or contractors in order to provide the Service or a requested transaction, including processing orders, processing credit card transactions, hosting websites, hosting demos, event and seminar registration and providing customer support, or to provide you with information regarding our Service or the services or products of third parties that may be of interest to you and for other legitimate and lawful business purposes of GV."
personal information,data controller,,"In certain circumstances, you may have the right to be provided with your Personal Data in a structured, machine readable and commonly used format and to request that we transfer the Personal Data to another data controller without hindrance."
personal information,service vendor,services,"We may also share Personal Data with business partners, service vendors, authorized third-party agents or contractors in order to provide the Service or a requested transaction, including processing orders, processing credit card transactions, hosting websites, hosting demos, event and seminar registration and providing customer support, or to provide you with information regarding our Service or the services or products of third parties that may be of interest to you and for other legitimate and lawful business purposes of GV."
personal information,sub,services,"GV may share Personal Data with our sub-processors to provide certain aspects of our Service or to otherwise assist us in its operation.
We May Share Personal Data With Our Sub-Processors to Provide Aspects of Our Service."
personal information,we,"legal, services, advertising, security","Except to the extent prohibited by law, and subject to this Privacy Policy (and the GV Agreement if you are a Customer), we will retain and use Personal Data for a period of time consistent with the original purpose for which it was provided or collected, e.g., as needed to provide you the Service, to document our business relationship with you, and as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements, and for a reasonable period of time thereafter.
If you are a Visitor, we will retain your Personal Data for as long as we deem necessary for legitimate business purposes.
In certain circumstances, you may have the right to be provided with your Personal Data in a structured, machine readable and commonly used format and to request that we transfer the Personal Data to another data controller without hindrance.
Notwithstanding anything else in this Privacy Policy, including any opt out instructions we receive from you, we may also disclose Personal Data without notifying you in the following circumstances: (i) in response to subpoenas, court orders or other legal process, or to establish or exercise our legal rights or defend against legal claims; (ii) when we believe it to be necessary in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person, violations of the GV Agreement or other agreement with you, and/or to protect our rights and property or those of others with which we do business; (iii) when we sell or license the Service (excluding usage license rights granted to Customers during the normal course of business) as an asset, or in the event of a sale, merger, corporate reorganization or other business consolidation or similar transaction, where user information may be among the transferred assets or disclosed information (in which case you will be notified via email or a prominent notice on our Site of any change in ownership or uses of your Personal Data, as well as any choices you may have regarding your Personal Data); or (iv) when we have your prior consent to do so.
This means that we will normally collect, process and/or use (depending on the context) your Personal Data only where:
We May Share Personal Data With Our Sub-Processors to Provide Aspects of Our Service.
We exclusively store and process Personal Data on computer services located in the U.S.
We may also share Personal Data with business partners, service vendors, authorized third-party agents or contractors in order to provide the Service or a requested transaction, including processing orders, processing credit card transactions, hosting websites, hosting demos, event and seminar registration and providing customer support, or to provide you with information regarding our Service or the services or products of third parties that may be of interest to you and for other legitimate and lawful business purposes of GV.
We may also transfer Personal Data to our third party sub-processors as described below in this section and in the "" Information Sharing "" section below.
We may collect, receive, store, use and/or process the Personal Data and other information described in this Privacy only in compliance with applicable law, our agreements with our Customers and as described in this Privacy Policy under the following circumstances:
We may share Personal Data with our affiliated companies (those we control, or which are under common control with us by a parent entity) to respond to your inquiries, process orders, assist us in providing Service, or to help improve our Service.
We may use the Personal Data you provide to us for the purposes for which you provided it, and to subscribe you to our newsletters or other marketing communications, reply to your contact request, follow up with you or to otherwise take action related to the purpose for which you supplied it.
We will collect or process your Personal Data only when we have a legal basis for doing so, which depends on how you interact with GV and/or our Service, or the systems or services of one of our Customers (acting as a data controller) on whose behalf we act as a data processor."
profile picture,Facebook,,"This includes your Facebook user ID, first name, last name, email address (optional), gender, locale, your time zone, birthday and profile picture.
This information is collected by Facebook and is provided to GV under the terms of Facebook's Data Policy ."
small text file place,UNSPECIFIED_ACTOR,services,"GV and our partners use ""cookies"" (small text files placed by our Site and stored on your computer), or similar technologies to help analyze trends, administer our Site, track users' movements around the Site, and track and customize your access to and use of the Site and the Service."
software component,we,"legal, services, advertising, security","Our platform consists of various software components, services and mobile applications (collectively, the ""Service""), which may be accessed directly or through our Customers' websites or through links provided by our Customers."
time zone,Facebook,,"This includes your Facebook user ID, first name, last name, email address (optional), gender, locale, your time zone, birthday and profile picture.
This information is collected by Facebook and is provided to GV under the terms of Facebook's Data Policy ."
user content,sponsor,,GV and/or Sponsor may retain your User Content to the fullest extent permitted by applicable law and as described in this Agreement and in Sponsor's Terms of Service.
username,Google,,"This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
username,we,"legal, services","This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
username,we,"legal, services, advertising, security","This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
