data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"analytics, legal, services","However, we may retain certain information to comply with our legal obligations, resolve disputes, or enforce our agreements, and there may be some delay in deleting certain data from our servers and back-up storage.
We use Your data to provide and improve the Platform.
We use cookies and similar tracking technologies to track the activity on Our Platform and We hold certain information."
credit / debit card number,payment processor govern,,"That information is provided directly to Our Payment Processors whose use of personal information is governed by their privacy policy.
We will not store or collect Your or Your employees' payment card details."
data collect from,we,"analytics, legal, services","Because Five to Nine and its servers are located in the United States, we necessarily transfer any data that is collected from outside the United States to the United States for processing and storage."
information on,we,"analytics, legal, services","We may also collect information on how the Platform is accessed and used (""Usage Data"")."
insight,UNSPECIFIED_ACTOR,,"Five to Nine uses the collected data for various purposes: To provide insight to employers, vendors and manufacturers about the aggregated data of the services provided on the Platform"
insight,employer,,"Five to Nine uses the collected data for various purposes: To provide insight to employers, vendors and manufacturers about the aggregated data of the services provided on the Platform"
insight,manufacturer,,"Five to Nine uses the collected data for various purposes: To provide insight to employers, vendors and manufacturers about the aggregated data of the services provided on the Platform"
personal datum about current client,we,"analytics, legal, services","We collect and process personal data about our current clients, for the sole purpose of providing software services to our clients."
session cookies,we,"analytics, legal, services, advertising",We use Session Cookies to operate Our Platform
