data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,We may transfer your data to USA under Privacy Shield Agreement (Google) and similar standard contractual clauses.
accurate information,we,,"When you create your account on the Platform, you must provide us with accurate and complete information."
cookie / pixel tag,we,"analytics, services","We also use cookies to provide super-powers for our users and serve them up personalised content, to analyse our website traffic, to understand where our visitors are coming from, and, most importantly, when our blood sugar is low.
We use cookies and similar technologies to improve your browsing experience on our website."
platform,we,"analytics, services, legal, security","By accessing or using the Platform or any of our products and services on, through or in connection with the Platform (""Products""), you acknowledge that you have read, understood, and agree to be bound by, these Terms and our Privacy Policy ."
user content,we,"analytics, services, legal, security","Following termination or deactivation of your account, or if you remove any User Content from the Platform, we may retain your User Content for a commercially reasonable period of time for backup, archival, or audit purposes."
