data_type,collector,purpose,text
cookie / pixel tag,Adobe,analytics,"The demdex cookie, set under the domain demdex.net, is used by Adobe Audience Manager to help identify a unique visitor across domains."
cookie / pixel tag,we,"advertising, analytics, services","We use cookies to help you navigate efficiently and perform certain functions.
We value your privacy

We use cookies to enhance your browsing experience, serve personalized ads or content, and analyze our traffic."
cookie / pixel tag,website operator,"advertising, analytics","This cookie is used to record from where the visitor came to the website orginally.
This information is used by the website operator to know the efficiency of their marketing."
cookie / pixel tag,youtube,"analytics, services","The cookie ytidb::LAST_RESULT_ENTRY_KEY is used by YouTube to store the last search result entry that was clicked by the user.
The yt-remote-fast-check-period cookie is used by YouTube to store the user's video player preferences for embedded YouTube videos.
The yt-remote-session-app cookie is used by YouTube to store user preferences and information about the interface of the embedded YouTube video player.
The yt-remote-session-name cookie is used by YouTube to store the user's video player preferences using embedded YouTube video."
