data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"legal, services","Additionally, if you are a European resident we note that we are processing your information in order to fulfill contracts we might have with you (for example if you make an order through the Site), or otherwise to pursue our legitimate business interests listed above.
When you install the App, we will maintain your Information for our records until 48 hours after you uninstall the App or until you ask us to delete this information - whichever is earlier."
customer api,we,"legal, services, advertising","When you install the App, we are automatically able to access certain types of information from your Shopify account: Customer APIs: view and modify your stores customers"
minimum amount of information necessary,we,"legal, services",The App collects and stores only the minimum amount of information necessary to provide App functionality.
