data_type,collector,purpose,text
financial account information,instavc,"services, analytics, security, advertising, legal","InstaVC may collect, or process on behalf of our customers, the following categories of personal data, as described above, in the ""What Personal Data do we receive?"" section: identifiers (such as in Account Information, Profile and Participant Information, Contact Information, and Registration Information), financial account information (such as in Account Information); commercial information (such as in Account Information); internet or other electronic network activity information (such as Device Information, Usage Information Regarding Meetings, Webinars, Message, Collaborative Features, and the Website, and Limited Information from InstaVC Email and Calendar Services); audio, electronic, and visual information (such as in Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features); education information such as from university customers; inferences we derive from the preceding or other information we collect; and sensitive personal information (such as certain categories in Account Information, Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features)."
identifier,instavc,,"InstaVC may collect, or process on behalf of our customers, the following categories of personal data, as described above, in the ""What Personal Data do we receive?"" section: identifiers (such as in Account Information, Profile and Participant Information, Contact Information, and Registration Information), financial account information (such as in Account Information); commercial information (such as in Account Information); internet or other electronic network activity information (such as Device Information, Usage Information Regarding Meetings, Webinars, Message, Collaborative Features, and the Website, and Limited Information from InstaVC Email and Calendar Services); audio, electronic, and visual information (such as in Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features); education information such as from university customers; inferences we derive from the preceding or other information we collect; and sensitive personal information (such as certain categories in Account Information, Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features)."
identifier,instavc,"services, analytics, security, advertising, legal","InstaVC may collect, or process on behalf of our customers, the following categories of personal data, as described above, in the ""What Personal Data do we receive?"" section: identifiers (such as in Account Information, Profile and Participant Information, Contact Information, and Registration Information), financial account information (such as in Account Information); commercial information (such as in Account Information); internet or other electronic network activity information (such as Device Information, Usage Information Regarding Meetings, Webinars, Message, Collaborative Features, and the Website, and Limited Information from InstaVC Email and Calendar Services); audio, electronic, and visual information (such as in Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features); education information such as from university customers; inferences we derive from the preceding or other information we collect; and sensitive personal information (such as certain categories in Account Information, Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features)."
information about,UNSPECIFIED_ACTOR,,"Depending on their settings, the school or other organization providing educational services - and the people they designate - can access: Information about how students and their devices interact with the school or educational organization's account."
information about,school,,"Depending on their settings, the school or other organization providing educational services - and the people they designate - can access: Information about how students and their devices interact with the school or educational organization's account."
information about,we,"legal, security, services","We may collect information about how you use our Services, such as the features you access and the pages you visit."
information about purchase,UNSPECIFIED_ACTOR,services,"If you purchase a third-party app or integration from the InstaVC App Marketplace, InstaVC may share information about the purchase with the third-party developer, to provide the app or integration."
information about purchase,instavc,services,"If you purchase a third-party app or integration from the InstaVC App Marketplace, InstaVC may share information about the purchase with the third-party developer, to provide the app or integration."
information collect from google api,we,"legal, security, services",We use the information collected from Google APIs for the following purposes:
information provide in response to poll,UNSPECIFIED_ACTOR,services,"Depending on their settings, the school or other organization providing educational services - and the people they designate - can access: Information provided in response to polls, Q&A, or other content shared during classrooms, webinars, and meetings on their account."
information provide in response to poll,school,,"Depending on their settings, the school or other organization providing educational services - and the people they designate - can access: Information provided in response to polls, Q&A, or other content shared during classrooms, webinars, and meetings on their account."
information receive from google api,we,"legal, security, services","This Privacy Policy explains how we collect, use, and protect information received from Google APIs, specifically email, OpenID, profile, and calendar data."
information regard meeting invitation,instavc,services,"From use of InstaVC's native calendar service, InstaVC receives information regarding meeting invitations, body text, sender and recipients, and other calendar information."
information school allow,we,"legal, security, services","We may collect, or process on behalf of schools or other organizations providing educational services, the following categories of personal data when a student uses or interacts with InstaVC Products to receive educational services, such as when they join their classroom or meet with their teacher on InstaVC: Profile and Participant Information: Name, profile picture, contact information, and any other information a school or educational organization allows students to add to their profile or to add when registering for meetings, recordings or webinars hosted on the school or organization's account."
information you provide to we,we,"legal, security, services","We may collect your name, email address, phone number, and other information that you provide to us in order to use our Services or communicate with us."
instavc product line,we,"legal, security, services","This Privacy Policy (""Policy"") applies to the use of the services & products offered by InstaVC Technologies Private Limited (""we,"" ""us,"" or ""our"") and InstaVC Technologies Private Limited, including, but not limited to, the use of our website, mobile application, and any related services & products including the entire application suite of our InstaVC product line or features (collectively, the ""Services""), as well as other custom developed applications for our customers globally."
instavc technologies private limited,we,"legal, security, services","This Privacy Policy (""Policy"") applies to the use of the services & products offered by InstaVC Technologies Private Limited (""we,"" ""us,"" or ""our"") and InstaVC Technologies Private Limited, including, but not limited to, the use of our website, mobile application, and any related services & products including the entire application suite of our InstaVC product line or features (collectively, the ""Services""), as well as other custom developed applications for our customers globally."
instavc unified communications pvt ltd,corporate affiliate,security,"InstaVC shares personal information with corporate affiliates, such as InstaVC Unified Communications Pvt Ltd, to provide integrated and consistent experiences across InstaVC products and services and to detect, investigate, and prevent fraud, abuse, and threats to public safety."
instavc unified communications pvt ltd.,instavc affiliate,services,We may share data with other InstaVC affiliates (such as InstaVC Unified Communications Pvt Ltd.) to enable additional products and features for use by schools and educational organizations.
number,instavc,services,"In all cases, InstaVC may have access to email metadata used for basic email delivery--specifically, email addresses in the form ID, and the number and size of attachments."
person name,we,"legal, security, services","We may collect your name, email address, phone number, and other information that you provide to us in order to use our Services or communicate with us.
We may collect, or process on behalf of schools or other organizations providing educational services, the following categories of personal data when a student uses or interacts with InstaVC Products to receive educational services, such as when they join their classroom or meet with their teacher on InstaVC: Profile and Participant Information: Name, profile picture, contact information, and any other information a school or educational organization allows students to add to their profile or to add when registering for meetings, recordings or webinars hosted on the school or organization's account."
personal datum collect from student,instavc,"services, analytics, security",InstaVC uses personal data collected from students to conduct the following activities:
personal information about student,UNSPECIFIED_ACTOR,services,"Schools or educational organizations may choose to install third-party apps to add features or educational services.
These apps may access personal information about students and other users on their account."
phone number,we,"legal, security, services","We may collect your name, email address, phone number, and other information that you provide to us in order to use our Services or communicate with us."
preference,we,"legal, security, services","Settings: Preferences and settings students set when using an educational account, such as microphone, audio and video settings, and screen sharing settings.
We may collect, or process on behalf of schools or other organizations providing educational services, the following categories of personal data when a student uses or interacts with InstaVC Products to receive educational services, such as when they join their classroom or meet with their teacher on InstaVC:"
profile information,we,"legal, security, services","We may collect, or process on behalf of schools or other organizations providing educational services, the following categories of personal data when a student uses or interacts with InstaVC Products to receive educational services, such as when they join their classroom or meet with their teacher on InstaVC: Profile and Participant Information: Name, profile picture, contact information, and any other information a school or educational organization allows students to add to their profile or to add when registering for meetings, recordings or webinars hosted on the school or organization's account."
profile picture,we,"legal, security, services","We may collect, or process on behalf of schools or other organizations providing educational services, the following categories of personal data when a student uses or interacts with InstaVC Products to receive educational services, such as when they join their classroom or meet with their teacher on InstaVC: Profile and Participant Information: Name, profile picture, contact information, and any other information a school or educational organization allows students to add to their profile or to add when registering for meetings, recordings or webinars hosted on the school or organization's account."
sensitive personal information,instavc,"services, analytics, security, advertising, legal","InstaVC processes sensitive personal information to provide InstaVC products and services, for product research and development, for authentication, integrity, security, and safety reasons, to communicate with you, for legal reasons, and with your consent."
