data_type,collector,purpose,text
UNSPECIFIED_DATA,we,analytics,"3. We gather the following personal data on our Website: e) device IP address or web browser identifier - information resulting from general terms and conditions of connections on the Internet, such as IP address (and other information included in system logs),
3. We gather the following personal data on our Website: f) other data can possibly be downloaded due to certain cases being run or they can be provided by you as users of our Website (including as clients or prospective clients) via electronic mail, the contact form available on our Website, the traditional mail or telephone."
cookie / pixel tag,we,"analytics, services",Our Website uses Cookies to adapts its functioning to your individual needs.
email address,we,"analytics, services","3. We gather the following personal data on our Website: b) email address - it can be processed when you, as users of our Website (including clients or prospective clients), provide us with it when contacting us via electronic mail, the contact form available on our Website as well as traditional mail or telephone; we use your email to send you confirmation of orders you have placed, to contact you when it is necessary in the course of execution of your order and to answer your questions regarding our products or services; if you have agreed to receiving marketing content and you have subscribed to our newsletter, we will also send you marketing information several times a month,"
entrust personal datum,processor,,The processor processes the entrusted personal data only for the purposes and in the scope specified in the agreement specified in the previous sentence.
ip address,we,"analytics, services","3. We gather the following personal data on our Website: e) device IP address or web browser identifier - information resulting from general terms and conditions of connections on the Internet, such as IP address (and other information included in system logs),"
personal datum category be,we,"analytics, services","According to the data minimisation principle, we process only these personal data categories that are necessary for achievement of the purposes specified in Points 3 and 4 above."
phone number,we,"analytics, services","3. We gather the following personal data on our Website: c) telephone number - we sometimes call you if any unexpected events occur, at the same suggesting the most beneficial solution,"
tax identification number,we,"analytics, services","d) NIP - we obtain the Tax Identification Number from entrepreneurs and the persons who request issuance of invoices and hold a NIP number,"
web browser identifier,we,"analytics, services","3. We gather the following personal data on our Website: e) device IP address or web browser identifier - information resulting from general terms and conditions of connections on the Internet, such as IP address (and other information included in system logs),"
