data_type,collector,purpose,text
mobile phone model,Xiaomi,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
mobile phone model,huawei,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
mobile phone model,oppo,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
mobile phone model,terminal equipment manufacturer,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
mobile phone model,vivo,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
necessary information of service,we,"security, services, analytics",We will provide the necessary information of the service or the products serving you according to your authorization.
necessary information use,we,"security, services, analytics","In order to maintain the normal operation of our services and protect the legitimate interests of you or other users or the public from losses, we will collect the necessary information used to maintain the safe and stable operation of our products or services:"
necessary personal information,UNSPECIFIED_ACTOR,services,"To realize the collaborating capability among the associated organizations, your organization will provide external collaborating organizations with your necessary personal information and data generated during work collaboration, and relevant information may be stored and accessed cross borders according to different collaborating counterparties."
necessary personal information,external collaborate organization,services,"To realize the collaborating capability among the associated organizations, your organization will provide external collaborating organizations with your necessary personal information and data generated during work collaboration, and relevant information may be stored and accessed cross borders according to different collaborating counterparties."
not software installation list information,feishu,"services, security","Feishu, as instructed by the Customer, will only obtain the results of whether there is such a cheating software, not your software installation list information, nor will it upload your software installation list to the Feishu server."
operating system version number,we,"security, services, analytics","To maintain a safe operation, quality and efficiency of software and services, we will collect the following information from you: hardware model, operating system version number, device identifiers (For Android devices: such as IMEI, AndroidID, OAID, IMSI, SIM card information (such as ICCID), GAID, MEID."
order information,relevant product provider,,"At the same time, based on your payment or purchase behavior, relevant product or service providers need to use your order information so that you can query relevant orders."
order information for,UNSPECIFIED_ACTOR,services,"When you log in with a Feishu account on a third-party product or service, or bind a Feishu account with another third-party or related party account, such applications or services will use your name, profile photo, app installation status, device information, the order information for purchasing third-party products and other information as authorized by you."
person name,UNSPECIFIED_ACTOR,services,"When you log in with a Feishu account on a third-party product or service, or bind a Feishu account with another third-party or related party account, such applications or services will use your name, profile photo, app installation status, device information, the order information for purchasing third-party products and other information as authorized by you."
person name,authorize organization,security,We may submit the real-name verification information you provide to competent departments or their legally authorized organization to verify the authenticity and accuracy of the information.
