data_type,collector,purpose,text
information third party service make,we,"security, services, analytics","By authorizing us to connect with a third-party service, you authorize us to access and store your name, email address(es), current city, profile picture URL, and other information that the third-party service makes available to us."
information we collect,we,"security, services, analytics","However, all other data and information that does not identify you as the client or any of your end-clients or customers - such as information collected using cookies as well as data collected about your interaction with our website or Onna - may be used by us for any lawful business purposes, including the following: General Business Uses; We may use the information that we collect for a variety of internal, business purposes, including to: (i) provide, operate, maintain, improve, and promote Onna; (ii) monitor and analyze trends, usage, and activities in connection with Onna and for marketing or advertising purposes; and (iii) investigate and prevent fraudulent transactions, unauthorized access to Onna, and other illegal activities."
label,UNSPECIFIED_ACTOR,services,"Onna's services access and use the files and information within your G Suite account, including the files stored in your Google Drive service, the labels, messages, and attachments sent and received in your Gmail service, the information in your Audits service and messages through your Hangouts service, including metadata stored within each service (collectively, ""Google Data"")."
message,UNSPECIFIED_ACTOR,services,"Onna's services access and use the files and information within your G Suite account, including the files stored in your Google Drive service, the labels, messages, and attachments sent and received in your Gmail service, the information in your Audits service and messages through your Hangouts service, including metadata stored within each service (collectively, ""Google Data"")."
non-personal information,we,"security, services, analytics","However, all other data and information that does not identify you as the client or any of your end-clients or customers - such as information collected using cookies as well as data collected about your interaction with our website or Onna - may be used by us for any lawful business purposes, including the following: Aggregated or Anonymized Data; Except for Google Data, we may also use aggregated or anonymized information that does not directly identify you for any internal purposes."
payment info,we,"security, services, analytics","Account Information; We collect and associate with your account, information like your name, email address, phone number, payment info, and physical address."
person name,we,"security, services, analytics","Account Information; We collect and associate with your account, information like your name, email address, phone number, payment info, and physical address.
By authorizing us to connect with a third-party service, you authorize us to access and store your name, email address(es), current city, profile picture URL, and other information that the third-party service makes available to us."
personal information,we,"security, services, analytics","In general, we will retain your personal information for the length of time reasonably needed to fulfill such purpose unless a longer retention period is required or permitted by law."
phone number,we,"security, services, analytics","Account Information; We collect and associate with your account, information like your name, email address, phone number, payment info, and physical address."
postal address,we,"security, services, analytics","Account Information; We collect and associate with your account, information like your name, email address, phone number, payment info, and physical address."
profile picture url,we,"security, services, analytics","By authorizing us to connect with a third-party service, you authorize us to access and store your name, email address(es), current city, profile picture URL, and other information that the third-party service makes available to us."
