data_type,collector,purpose,text
UNSPECIFIED_DATA,we,services,"By using our services, you acknowledge that we may access your data to provide the requested services, troubleshoot issues, and ensure compliance with our terms of service.
We will retain your information for as long as your account is active or as needed to provide you services."
datum give to we,we,services,We collect personal data given to us during the onboarding process or data voluntarily given by you to us while using the platform.
personal datum give to we during onboarding process,we,services,We collect personal data given to us during the onboarding process or data voluntarily given by you to us while using the platform.
personal information,we,services,"Additionally, we use this personal information to communicate with you, optimize or improve the App
We may use your personal information to personalize your experience, process transactions, and provide customer support.
We use the personal information we collect from you in order to provide the Service."
