data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"By using any product, service or functionality originating from BasicOps, you hereby acknowledge and consent that we may share such information and data with any third party with whom BasicOps has a contractual relationship to provide the requested product, service or functionality on behalf of our users and customers."
UNSPECIFIED_DATA,basicops,services,BasicOps collects and uses your information to deliver the services you have requested.
UNSPECIFIED_DATA,trust partner,"analytics, services","We may share data with trusted partners to help perform statistical analysis, send you email or postal mail, provide customer support, or process payments."
UNSPECIFIED_DATA,we,"analytics, services","By using any product, service or functionality originating from BasicOps, you hereby acknowledge and consent that we may share such information and data with any third party with whom BasicOps has a contractual relationship to provide the requested product, service or functionality on behalf of our users and customers.
We may share data with trusted partners to help perform statistical analysis, send you email or postal mail, provide customer support, or process payments."
cookie / pixel tag,we,"analytics, services","We may use ""cookies"", or other technologies like pixels or web beacons, to help you personalize your online experience and help us monitor, analyze and improve the Services.
We use both session-based and persistent cookies.
We use cookies that help us remember you and improve your experience browsing our site."
customer datum submit under account,administrator,,Administrators have complete access to all Customer Data submitted under that account by its users.
online collaboration tool,we,"analytics, services, advertising","This Statement of Privacy applies to BasicOps, Inc.(together, ""we"", ""us"", ""our"" or ""BasicOps""), our online collaboration tools and platform (the ""Services""), and governs data collection and usage."
personal identifier,we,"analytics, services, advertising","We may also use your personally identifiable information to inform you of other products or services available from BasicOps and our affiliates.
When you create an account and when you invite Users, we will collect personally identifiable information associated with the account, some of which may or may not be optional such as your:"
personal information,we,"analytics, services, advertising","We will disclose your personal information, without notice, only if required to do so by law or in the good faith belief that such action is necessary to: (a) conform to the edicts of the law or comply with legal process served on BasicOps or the site; (b) protect and defend the rights or property of BasicOps; and, (c) act under exigent circumstances to protect the personal safety of users of BasicOps, or the public."
